Solution for Question 6 Using sigma from 0.1 to 1:

           sigma      FV_Eur_call       FV_Eur_put ------------------------------------------------------
             0.1             0.18             0.78 
            0.20             0.29             0.67 
            0.30             0.32             0.64 
            0.40             0.32             0.64 
            0.50             0.32             0.64 
            0.60             0.32             0.64 
            0.70             0.30             0.66 
            0.80             0.29             0.67 
            0.90             0.29             0.67 
            1.00             0.27             0.69 
